orden,desde,desde_mes,desde_anio,desde_mes_nombre,vence,estado,situacion_actual,sujeto_obligado,ministerio_orbita,provincia,ingreso,motivo_del_reclamo,resumen,sintesis_de_resolucion,resultado_intimacion,n_expediente,informe_de_cierre
45,20/03/2018,3,2018,Marzo,08/05/2018,Cerrado,Finalizado,SIEMPRO,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-12013003-APN-DNAIP#AAIP,NA
46,21/03/2018,3,2018,Marzo,09/05/2018,Cerrado,Finalizado,Ecogas,Empresa,Córdoba,E-MAIL,Silencio,Rechazo,Rechazo,NA,EX-2018-12137103-APN-AAIP,NA
47,21/03/2018,3,2018,Marzo,09/05/2018,Cerrado,Finalizado,SIGEN,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-12061191-APN-DNAIP#AAIP,NA
48,22/03/2018,3,2018,Marzo,10/05/2018,Cerrado,Finalizado,Ministerio de Desarrollo Social,Ministerio de Desarrollo Social,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-12444323-APN-DNAIP#AAIP,NA
49,22/03/2018,3,2018,Marzo,10/05/2018,Cerrado,Finalizado,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto","Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-12498791-APN-DNAIP#AAIP,NA
50,27/03/2018,3,2018,Marzo,15/05/2018,Cerrado,Finalizado,ANSES,"Ministerio de Trabajo, Empleo y Seguridad Social",Ciudad Autónoma de Buenos Aires,PAPEL,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-13224817-APN-AAIP,NA
51,27/03/2018,3,2018,Marzo,15/05/2018,Cerrado,Finalizado,UNM,Universidad,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2018-13059092-APN-DNAIP#AAIP,NA
52,28/03/2018,3,2018,Marzo,16/05/2018,Cerrado,Finalizado,Ministerio de Defensa,Ministerio de Defensa,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-13455387-APN-AAIP,NA
53,04/04/2018,4,2018,Abril,18/05/2018,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-09042259-APN-OA#MJ,NA
54,05/04/2018,4,2018,Abril,21/05/2018,Cerrado,Finalizado,ENACOM,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-14748652-APN-AAIP,NA
55,06/04/2018,4,2018,Abril,22/05/2018,Cerrado,Finalizado,Superintendencia de Seguros de la Nación,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,PAPEL,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,NA,EX-2018-14815455-APN-AAIP,NA
56,06/04/2018,4,2018,Abril,22/05/2018,Cerrado,Finalizado,Superintendencia de Seguros de la Nación,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,PAPEL,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-14813119-APN-AAIP,NA
57,10/04/2018,4,2018,Abril,24/05/2018,Cerrado,Finalizado,Superintendencia de Seguros de la Nación,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,No corresponde,Extemporáneo,NA,EX-2018-15526180-APN-AAIP,NA
58,13/04/2018,4,2018,Abril,30/05/2018,Cerrado,Finalizado,Ministerio de Desarrollo Productivo (no vigente),Ministerio de Desarrollo Productivo (no vigente),Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-16233631-APN-DNAIP#AAIP,NA
59,13/04/2018,4,2018,Abril,30/05/2018,Cerrado,Finalizado,Ministerio de Desarrollo Social,Ministerio de Desarrollo Social,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-16361070-APN-DNAIP#AAIP,NA
60,16/04/2018,4,2018,Abril,31/05/2018,Cerrado,Finalizado,OA,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2018-16663359-APN-DNAIP#AAIP,NA
61,18/04/2018,4,2018,Abril,04/06/2018,Cerrado,Finalizado,"Ministerio de Trabajo, Empleo y Seguridad Social","Ministerio de Trabajo, Empleo y Seguridad Social",Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-17408985-APN-AAIP,NA
62,18/04/2018,4,2018,Abril,04/06/2018,Cerrado,Finalizado,Dirección Nacional de Vialidad,Ministerio de Obras Públicas,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-17207109-APN-AAIP,NA
63,18/04/2018,4,2018,Abril,04/06/2018,Cerrado,Finalizado,Ministerio de Defensa,Ministerio de Defensa,Ciudad Autónoma de Buenos Aires,PAPEL,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2018-17211815-APN-AAIP,NA
64,23/04/2018,4,2018,Abril,11/10/2018,Cerrado,Finalizado,Procuración del Tesoro Nacional,Ministerio de Justicia y Derechos Humanos,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,No corresponde,Otra jurisdicción,NA,EX-2018-17864947- -APN-DNAIP#AAIP,NA
65,25/04/2018,4,2018,Abril,11/06/2018,Cerrado,Finalizado,Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-19078131-APN-AAIP,NA
66,25/04/2018,4,2018,Abril,11/06/2018,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-18965076-APN-AAIP,NA
67,28/04/2018,4,2018,Abril,13/06/2018,Cerrado,Finalizado,Sistema Federal de Medios y Contenidos Públicos,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-19729590-APN-DNAIP#AAIP,NA
68,02/05/2018,5,2018,Mayo,14/06/2018,Cerrado,Finalizado,Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-19982976-APN-DNAIP#AAIP,NA
69,11/05/2018,5,2018,Mayo,26/06/2018,Cerrado,Finalizado,Ministerio de Cultura,Ministerio de Cultura,Ciudad Autónoma de Buenos Aires,PAPEL,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-23556529-APN-AAIP,NA
70,16/05/2018,5,2018,Mayo,27/06/2018,Cerrado,Finalizado,Municipio,Municipio,Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,Otra jurisdicción,NA,EX-2018-22994419-APN-DNAIP#AAIP,NA
71,18/05/2018,5,2018,Mayo,03/07/2018,Cerrado,Finalizado,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto","Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2018-23614516-APN-DNAIP#AAIP,NA
72,18/05/2018,5,2018,Mayo,03/07/2018,Cerrado,Finalizado,Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,E-MAIL,Silencio,No corresponde,Otra jurisdicción,NA,EX-2018-23687005-APN-AAIP,NA
73,21/05/2018,5,2018,Mayo,05/07/2018,Cerrado,Finalizado,Sistema Federal de Medios y Contenidos Públicos,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,NA,EX-2018-24088024-APN-DNAIP#AAIP,NA
74,21/05/2018,5,2018,Mayo,04/07/2018,Cerrado,Finalizado,Ministerio del Interior,Ministerio del Interior,Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2018-23875193-APN-DNAIP#AAIP,NA
75,21/05/2018,5,2018,Mayo,04/07/2018,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-24093262-APN-DNAIP#AAIP,NA
76,21/05/2018,5,2018,Mayo,04/07/2018,Cerrado,Finalizado,Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-23987686-APN-AAIP,NA
77,23/05/2018,5,2018,Mayo,06/07/2018,Cerrado,Finalizado,Superintendencia de Seguros de la Nación,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-24441798-APN-AAIP,NA
78,24/05/2018,5,2018,Mayo,10/07/2018,Cerrado,Finalizado,SIGEN,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,PAPEL,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-24815245-APN-AAIP,NA
79,28/05/2018,5,2018,Mayo,11/07/2018,Cerrado,Finalizado,UTN,Universidad,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-25153020-APN-AAIP,NA
80,28/05/2018,5,2018,Mayo,11/07/2018,Cerrado,Finalizado,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto","Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-25267245- -APN-DNAIP#AAIP,NA
81,29/05/2018,5,2018,Mayo,12/07/2018,Cerrado,Finalizado,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto","Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2018-25578638-APN-DNAIP#AAIP,NA
82,31/05/2018,5,2018,Mayo,16/07/2018,Cerrado,Finalizado,Sistema Federal de Medios y Contenidos Públicos,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Intimación,Intimación por denegatoria injustificada,NA,EX-2018-25916298-APN-AAIP,NA
83,31/05/2018,5,2018,Mayo,16/07/2018,Cerrado,Finalizado,RTA,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Intimación,Intimación por denegatoria injustificada,NA,EX-2018-25914567-APN-AAIP,NA
84,04/06/2018,6,2018,Junio,18/07/2018,Cerrado,Finalizado,Ministerio de Desarrollo Productivo (no vigente),Ministerio de Desarrollo Productivo (no vigente),Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-26571466-APN-AAIP,NA
85,07/06/2018,6,2018,Junio,23/07/2018,Cerrado,Finalizado,Ministerio de Economía,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-27247879-APN-DNAIP#AAIP,NA
86,11/06/2018,6,2018,Junio,26/07/2018,Cerrado,Finalizado,Dirección Nacional de Vialidad,Ministerio de Obras Públicas,Ciudad Autónoma de Buenos Aires,PAPEL,No aplica,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-28076275-APN-AAIP,NA
87,11/06/2018,6,2018,Junio,26/07/2018,Cerrado,Finalizado,Ministerio de Desarrollo Productivo (no vigente),Ministerio de Desarrollo Productivo (no vigente),Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-27851644-APN-DNAIP#AAIP,NA
88,13/06/2018,6,2018,Junio,30/07/2018,Cerrado,Finalizado,Ministerio de Transporte,Ministerio de Transporte,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-28330043-APN-DNAIP#AAIP,NA
89,19/06/2018,6,2018,Junio,03/08/2018,Cerrado,Finalizado,ANSES,"Ministerio de Trabajo, Empleo y Seguridad Social",Ciudad Autónoma de Buenos Aires,TAD,Silencio,Rechazo,Rechazo,NA,EX-2018-29305539-APN-DNAIP#AAIP,NA
90,19/06/2018,6,2018,Junio,03/08/2018,Cerrado,Finalizado,Secretaría Legal y Técnica,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-29448315-APN-AAIP,NA
91,20/06/2018,6,2018,Junio,03/08/2018,Cerrado,Finalizado,Sistema Federal de Medios y Contenidos Públicos,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2018-29539945-APN-DNAIP#AAIP,NA
92,20/06/2018,6,2018,Junio,03/08/2018,Cerrado,Finalizado,Ministerio de Seguridad,Ministerio de Seguridad,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-29539566-APN-DNAIP#AAIP,NA
93,21/06/2018,6,2018,Junio,06/08/2018,Cerrado,Finalizado,INDEC,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,PAPEL,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2018-29665337-APN-AAIP,NA
94,22/06/2018,6,2018,Junio,07/08/2018,Cerrado,Finalizado,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto","Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",No residente,E-MAIL,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2018-29831614-APN-AAIP,NA
95,25/06/2018,6,2018,Junio,08/08/2018,Cerrado,Finalizado,Ministerio del Interior,Ministerio del Interior,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-30162730- -APN-DNAIP#AAIP,NA
96,26/06/2018,6,2018,Junio,09/08/2018,Cerrado,Finalizado,Dirección Nacional de Migraciones,Ministerio de Interior,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-30454484-APN-DNAIP#AAIP,NA
97,26/06/2018,6,2018,Junio,09/08/2018,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-30318466- -APN-DNAIP#AAIP,NA
98,27/06/2018,6,2018,Junio,09/08/2018,Cerrado,Finalizado,ANSES,"Ministerio de Trabajo, Empleo y Seguridad Social",Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,Extemporáneo,NA,EX-2018-30600586-APN-DNAIP#AAIP,NA
99,28/06/2018,6,2018,Junio,10/08/2018,Cerrado,Finalizado,AFIP,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,PAPEL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2018-30898552-APN-AAIP,NA
